,Date,Hour,Current,Frequency,Voltage,kP,kQ,TIME_TO_INTERVAL
2077,2022-06-26,6,2.4566194444444487,60.06259166666658,224.76303055555582,1.6284138888888886,0.2767833333333192,2022-06-26 06:00:00
2078,2022-06-26,7,3.681313888888881,60.06443611111114,225.37519999999995,2.4622694444444395,0.33414444444443336,2022-06-26 07:00:00
2079,2022-06-26,8,6.817012229016083,59.999938854919534,224.91060033351857,4.563401889938792,0.5710339077265087,2022-06-26 08:00:00
2080,2022-06-26,9,9.236058333333316,59.97570277777773,225.25013888888822,6.1958527777777705,0.7371472222222336,2022-06-26 09:00:00
2081,2022-06-26,10,9.55492499999999,59.975444444444456,223.96253055555536,6.383630555555549,0.6741499999999808,2022-06-26 10:00:00
2082,2022-06-26,11,10.596383333333328,59.99166666666654,223.5352083333333,7.043222222222228,0.909916666666674,2022-06-26 11:00:00
2083,2022-06-26,12,9.484652777777757,59.98644166666675,223.6865722222223,6.312133333333335,0.8038805555555563,2022-06-26 12:00:00
2084,2022-06-26,13,7.178574999999996,59.985444444444326,224.57365000000019,4.806236111111121,0.5761305555555566,2022-06-26 13:00:00
2085,2022-06-26,14,7.905763888888891,59.99006388888874,225.61201388888895,5.30970277777777,0.6861222222221918,2022-06-26 14:00:00
2086,2022-06-26,15,7.306863888888915,60.05378888888902,223.96488888888882,4.863491666666671,0.6745250000000178,2022-06-26 15:00:00
2087,2022-06-26,16,4.2071500000000315,60.00740277777786,224.26493611111098,2.8009388888888815,0.3905555555555487,2022-06-26 16:00:00
2088,2022-06-26,17,1.945930555555542,60.026808333333285,223.88270277777744,1.2852444444444564,0.23824166666667393,2022-06-26 17:00:00
2089,2022-06-26,18,0.9558666666666753,60.00346666666653,224.0803527777776,0.42441666666666467,0.33240277777777305,2022-06-26 18:00:00
2090,2022-06-26,19,0.7709888888888836,59.98645555555564,224.9098055555554,0.024372222222222805,0.5205111111110953,2022-06-26 19:00:00
2091,2022-06-26,20,0.7736083333333443,59.99650555555557,225.32915000000065,0.028583333333334102,0.5223444444444272,2022-06-26 20:00:00
2092,2022-06-26,21,0.7699722222222076,59.94801944444453,224.88332777777828,0.029538888888889767,0.5184472222222086,2022-06-26 21:00:00
2093,2022-06-26,22,0.7666027777777901,59.939302777777726,224.08990277777784,0.030000000000000925,0.5149638888888783,2022-06-26 22:00:00
2094,2022-06-26,23,0.7673277777777672,59.99765833333337,224.0630500000003,0.0299777777777787,0.5146055555555432,2022-06-26 23:00:00
2095,2022-06-27,0,0.7726388888888907,60.01864722222234,224.6020138888884,0.029994444444445368,0.52053055555554,2022-06-27 00:00:00
